iter	Passed	Remaining
0	6	639
1	9	451
2	11	357
3	14	336
4	15	300
5	16	264
6	18	239
7	19	220
8	20	206
9	21	194
10	22	183
11	23	174
12	24	167
13	26	160
14	27	154
15	28	148
16	29	143
17	30	139
18	31	135
19	32	131
20	34	128
21	35	124
22	36	121
23	37	118
24	38	115
25	39	112
26	40	110
27	41	107
28	42	104
29	43	102
30	45	100
31	46	98
32	47	95
33	48	94
34	49	92
35	50	90
36	51	88
37	52	86
38	54	84
39	55	82
40	56	80
41	56	78
42	57	76
43	58	74
44	59	73
45	61	71
46	62	70
47	63	68
48	64	67
49	65	65
50	66	63
51	67	62
52	68	61
53	69	59
54	70	57
55	71	56
56	72	54
57	73	53
58	75	52
59	76	50
60	77	49
61	78	48
62	79	46
63	80	45
64	81	44
65	82	42
66	84	41
67	85	40
68	86	38
69	87	37
70	88	36
71	89	34
72	90	33
73	91	32
74	93	31
75	94	29
76	95	28
77	96	27
78	97	25
79	98	24
80	99	23
81	100	22
82	101	20
83	102	19
84	103	18
85	105	17
86	106	15
87	107	14
88	108	13
89	109	12
90	110	10
91	111	9
92	112	8
93	113	7
94	115	6
95	116	4
96	117	3
97	118	2
98	119	1
99	121	0
